Название,Издатель,Продажи (млн),Дата выхода,Жанр,Цена
The Deed,GrabTheGames,0.13m,24th Nov 15,"Adventure, RPG",$0.25
DeadCore,Bandai Namco Entertainment,0.13m,17th Oct 14,"Action, Indie",$1.89
Super House of Dead Ninjas,Adult Swim,0.13m,18th Feb 13,"Action, Indie",$6.99
Beat Cop,11 bit studios,0.13m,30th Mar 17,"Adventure, Indie, Simulation",$0.99
FlatOut 3: Chaos & Destruction,Strategy First,0.13m,13th Dec 11,Racing,$1.42
Sid Meier's Ace Patrol: Pacific Skies,2K Games,0.13m,05th Nov 13,"Casual, Strategy",$0.23
Delver,Priority Interrupt,0.13m,01st Feb 18,"Action, Adventure, Indie + 1",$12.08
Hand of Fate 2,Defiant Development,0.13m,07th Nov 17,"Action, Indie, RPG",$5.99
Battle Ranch: Pigs vs Plants,Playboom,0.13m,02nd Feb 15,"Casual, Indie, Strategy",$1.99
"Hack, Slash, Loot",David Williamson,0.13m,05th Apr 12,"Casual, Indie, RPG",$0.45
Master of Orion,Microprose,0.13m,06th Sep 93,Strategy,$24.99
The Jackbox Party Pack 4,Jackbox Games,0.12m,19th Oct 17,"Casual, Indie, Strategy",$9.06
The Witcher Adventure Game,CD Projekt Red Studio,0.12m,27th Nov 14,"Adventure, Strategy",$2.51
Circuits,Digital Tentacle,0.12m,17th Apr 14,"Casual, Indie",$0.97
Survivor Squad,Endless Loop Studios,0.12m,08th Nov 13,"Action, Indie, Strategy",$0.26
DEADBOLT,Hopoo Games,0.12m,14th Mar 16,"Action, Indie",$8.49
Linked,ThinkOfGames,0.12m,21st Feb 17,"Casual, Indie",$0.65
Westerado: Double Barreled,Adult Swim,0.12m,16th Apr 15,"Action, Adventure, Indie",$6.19
Oceanhorn: Monster of Uncharted Seas,FDG Entertainment,0.12m,17th Mar 15,"Action, Adventure, Indie + 1",$6.70
Splice,Cipher Prime,0.12m,13th Jun 12,"Casual, Indie",$0.91
8-Bit Armies,Soedesco,0.12m,21st Sep 18,"Indie, Simulation, Strategy",$2.29
Deponia Doomsday,Daedalic Entertainment,0.12m,01st Mar 16,"Adventure, Indie",$1.18
R.A.W. Realms of Ancient War,Focus Home Interactive,0.12m,11th Oct 12,"Action, RPG",$0.62
Dead Age,Headup Games,0.12m,14th Jul 16,"Action, Adventure, Casual + 4",$0.73
Dexodonex,Seragam,0.12m,08th Dec 16,"Casual, Indie",$4.99
Mechanic Escape,Plug In Digital,0.12m,15th Apr 14,"Action, Adventure, Indie",$0.77
Three Heroes,Cats Who Play,0.12m,17th Sep 15,"Action, Adventure, Indie",$1.22
Epic Battle Fantasy 4,Matt Roszak,0.12m,25th Feb 14,"Adventure, RPG",$9.15
Desktop Dungeons,QCF Design,0.12m,07th Nov 13,"Adventure, Casual, Indie + 2",$7.49
Drawful 2,Jackbox Games,0.12m,21st Jul 16,"Casual, Indie, Strategy",$0.76
- Arcane Raise -,WAX Publishing,0.12m,10th Mar 17,"Adventure, Casual, Indie + 2",$0.99
Overture,Black Shell Media,0.12m,01st Jan 15,"Action, Adventure, Casual + 3",$0.39
Ben and Ed,Sluggerfly,0.12m,08th Dec 15,"Action, Adventure, Indie",$9.99
Skulls of the Shogun,17-Bit,0.12m,30th Jan 13,"Indie, Strategy",$2.89
SkyDrift,HandyGames,0.12m,21st Nov 11,"Indie, Racing",$1.29
Avadon: The Black Fortress,Spiderweb Software,0.12m,02nd May 11,"Indie, RPG",$2.01
Rush Bros.,Digital Tribe Games,0.12m,24th May 13,"Action, Indie, Racing",$0.83
X-COM: Apocalypse,Microprose,0.12m,01st Jan 97,Strategy,$0.49
Amnesia: A Machine for Pigs,Frictional Games,0.12m,10th Sep 13,"Action, Adventure, Indie",$3.99
Atelier Marie Remake: The Alchemist of Salburg,Koei Tecmo,0.12m,13th Jul 23,"Casual, RPG",$17.55
Office Battle,Black Lime Studio,0.12m,02nd Dec 15,"Action, Indie",$0.98
Real Boxing,Vivid Games S.A.,0.12m,02nd Jul 14,Sports,$3.89
Attack on Titan / A.O.T. Wings of Freedom,Koei Tecmo,0.12m,26th Aug 16,Action,$30.59
If My Heart Had Wings,MoeNovel,0.12m,28th Jun 13,"Adventure, Casual, Simulation",$4.28
Guncraft,Reverb Triple XP,0.12m,10th Aug 13,"Action, Indie",$2.29
8BitBoy,AwesomeBlade,0.12m,06th May 14,"Action, Casual, Indie",$1.45
Trials 2: Second Edition,RedLynx,0.12m,01st Mar 08,"Indie, Racing, Sports",$9.99
Emily is Away Too,Kyle Seeley,0.12m,26th May 17,"Adventure, Casual, Indie + 2",$2.47
Fernbus Simulator,Aerosoft,0.12m,25th Aug 16,"Casual, Simulation",$9.99
Bleed,Bootdisk Revolution,0.12m,03rd Jul 13,"Action, Indie",$2.77
Bloody Good Time,Ubisoft,0.12m,27th Oct 10,Action,$0.99
Out of Reach,Space Boat Studios,0.12m,13th Jul 18,"Action, Adventure, Indie + 3",$1.98
Shufflepuck Cantina Deluxe,Agharta Studio,0.12m,06th Dec 13,"Action, Indie, Sports",$7.51
Sudden Strike 4,Kalypso Media,0.12m,15th Aug 17,Strategy,$1.25
Anodyne,Analgesic Productions,0.12m,22nd Mar 13,"Action, Adventure, Indie",$3.14
Akin,ThinkOfGames,0.12m,06th Jun 16,"Casual, Indie",$0.25
The chronicles of Emerland. Solitaire.,Rainbow Games,0.12m,04th Oct 13,Casual,$1.73
BADLAND: Game of the Year Edition,Frogmind,0.12m,26th May 15,"Action, Adventure, Indie",$1.19
Champions of Krynn,SSI,0.12m,01st Jan 90,RPG,$4.99
Trucks & Trailers,SCS Software,0.12m,17th Jun 11,"Indie, Simulation",$0.99
The Cat Lady,Screen 7,0.12m,01st Dec 12,"Adventure, Indie",$1.19
Heavy Bullets,Devolver Digital,0.12m,15th May 14,"Action, Indie",$1.99
Shark Attack Deathmatch 2,Lighthouse Games Studio,0.12m,28th Jun 15,"Action, Indie",$0.97
Late Shift,Wales Interactive Ltd.,0.11m,18th Apr 17,"Adventure, Indie",$2.11
Zen Bound 2,Secret Exit Ltd.,0.11m,16th Nov 10,"Casual, Indie",$0.82
Garden Rescue: Christmas Edition,Rainbow Games,0.11m,09th Nov 15,"Casual, Strategy",$2.54
Samorost 3,Amanita Design,0.11m,24th Mar 16,"Adventure, Casual, Indie",$2.30
INK,ZackBellGames,0.11m,05th Aug 15,"Action, Adventure, Indie",$0.78
Starpoint Gemini Warlords,Iceberg Interactive,0.11m,23rd May 17,"Action, RPG, Simulation + 1",$1.13
Farm Together,Milkstone Studios,0.11m,11th Oct 18,"Casual, Indie, Simulation",$4.36
Ice Lakes,Iceflake Studios,0.11m,19th Apr 16,"Indie, Simulation, Sports",$6.09
20XX,Batterystaple Games,0.11m,16th Aug 17,"Action, Indie",$4.29
SHENZHEN I/O,Zachtronics Industries,0.11m,17th Nov 16,"Indie, Simulation",$3.91
Arma Tactics,Bohemia Interactive,0.11m,01st Oct 13,"Indie, Strategy",$0.91
Insanely Twisted Shadow Planet,Microsoft Studios,0.11m,17th Apr 12,"Action, Adventure, Indie",$4.17
Rebuild 3: Gangs of Deadsville,Northway Games,0.11m,29th May 15,"Indie, RPG, Simulation + 1",$1.61
Hektor,Meridian4,0.11m,20th Feb 15,"Action, Adventure, Indie",$3.40
Alchemy Mysteries: Prague Legends,Jetdogs Studios,0.11m,22nd Dec 14,"Adventure, Casual, Indie",$0.64
Legends of Eisenwald,Aterdux Entertainment,0.11m,02nd Jul 15,"Adventure, Indie, RPG + 1",$2.11
Crashlands,Butterscotch Shenanigans,0.11m,21st Jan 16,"Action, Adventure, Indie + 1",$2.29
Dead State: Reanimated,DoubleBear Productions,0.11m,04th Dec 14,"Indie, RPG, Strategy",$7.68
Submerged,Uppercut Games Pty Ltd,0.11m,04th Aug 15,Adventure,$3.12
Analogue: A Hate Story,Love Conquers All Games,0.11m,27th Apr 12,Indie,$2.16
Intralism,KHB-Soft,0.11m,04th Nov 16,"Action, Casual, Indie",$2.99
12 Labours of Hercules III: Girl Power,Jetdogs Studios,0.11m,07th Aug 15,"Casual, Strategy",$1.14
Sparkle 3 Genesis,Forever Entertainment S.A.,0.11m,24th Apr 15,"Action, Casual, Indie + 1",$0.39
Game Corp DX,Endless Loop Studios,0.11m,02nd Oct 15,"Indie, Simulation",$0.65
Bridge Project,THQ Nordic,0.11m,28th May 13,Simulation,$0.97
Staxel,Humble Bundle,0.11m,23rd Jan 18,"Indie, RPG, Simulation",$3.75
UBERMOSH,Walter Machado,0.11m,13th Aug 15,"Action, Indie",$0.49
Blaster Master Zero,Inti Creates,0.11m,09th Mar 17,Action,$9.99
Iron Brigade,Double Fine Productions,0.11m,13th Aug 12,"Action, Strategy",$4.16
OlliOlli,Devolver Digital,0.11m,22nd Jul 14,"Indie, Sports",$1.99
Flight Control HD,Firemint,0.11m,18th Nov 10,"Action, Casual",$4.99
Sword of the Stars II: Enhanced Edition,Paradox Interactive,0.11m,30th Nov 12,Strategy,$2.49
Snapshot,Retro Affect,0.11m,30th Aug 12,"Adventure, Casual, Indie",$0.56
Replica,Somi,0.11m,11th Jun 16,"Adventure, Indie",$2.54
fault - milestone one,Sekai Project,0.11m,09th Aug 13,Adventure,$2.63
Sakura Dungeon,Winged Cloud,0.11m,03rd Jun 16,"Adventure, Indie, RPG",$3.19
Vanishing Realms,Indimo Labs LLC,0.11m,05th Apr 16,"Action, Adventure, RPG",$2.23
TransOcean: The Shipping Company,Astragon,0.11m,23rd Sep 14,"Casual, Simulation, Strategy",$0.96
"Cook, Serve, Delicious! 2!!",Vertigo Gaming Inc.,0.11m,14th Sep 17,"Action, Indie, Simulation + 1",$0.79
Kairo,Lupus Studios Limited,0.11m,24th Apr 13,"Adventure, Indie",$3.89
Heroes of Hammerwatch,Crackshell,0.11m,01st Mar 18,"Action, Indie, RPG",$10.09
Pixel Puzzles 2: Space,DL Softworks,0.11m,19th Feb 16,"Casual, Indie, Simulation + 1",$0.72
HIVESWAP: ACT 1,"What Pumpkin Games, Inc.",0.11m,17th Sep 14,"Adventure, Indie, RPG",$0.56
Depth Hunter 2: Deep Dive,Biart Design Studio,0.11m,20th Aug 14,"Action, Adventure, Casual + 3",$1.80
Chime,OneBigGame,0.11m,06th Sep 10,Casual,$4.31
Dungeon Souls,Black Shell Media,0.11m,02nd Dec 16,"Action, Adventure, Indie + 1",$5.19
SimAirport,LVGameDev LLC,0.11m,07th Mar 17,"Casual, Indie, Simulation + 1",$20.08
Cities XXL,Focus Home Interactive,0.11m,05th Feb 15,Simulation,$1.64
Alpacapaca Dash,Synnergy Circle Games,0.11m,24th Jan 17,"Casual, Indie",$0.99
Jackal,Peace,0.10m,21st Aug 16,"Action, Indie",$62.67
Darkness Assault,Black Lime Studio,0.10m,06th Feb 15,"Action, Indie",$0.99
Putrefaction,Kazakov Oleg,0.10m,07th Aug 15,"Action, Indie",$1.99
Monster Prom,Those Awesome Guys,0.10m,27th Apr 18,"Indie, Simulation",$1.61
Rusty Lake: Roots,Rusty Lake,0.10m,20th Oct 16,"Adventure, Indie",$1.79
AXYOS,Axyos Games,0.10m,01st Aug 18,"Action, Casual, Indie + 2",$0.74
Everything,Double Fine Presents,0.10m,21st Apr 17,"Casual, Indie, RPG + 1",$1.55
Little Racers STREET,Milkstone Studios,0.10m,06th Feb 14,"Casual, Indie, Racing",$1.16
Orbt XL,Nickervision Studios,0.10m,21st Apr 17,"Action, Casual, Indie",$0.99
Valhalla Hills,Daedalic Entertainment,0.10m,02nd Dec 15,"Indie, Simulation, Strategy",$0.60
Midsummer Night,Siberian Digital,0.10m,17th Jun 16,"Adventure, Indie",$2.33
Adventures of Shuggy,Smudged Cat Games,0.10m,13th Jun 12,Indie,$0.78
Cargo Commander,Missing Link Games,0.10m,01st Nov 12,"Action, Adventure, Casual + 1",$0.39
Devil Daggers,Sorath,0.10m,18th Feb 16,"Action, Indie",$2.71
Age of Steel: Recharge,Quaint Emerald,0.10m,06th Jan 16,"Action, Casual, Indie + 1",$0.44
iBomber Defense Pacific,Cobra Mobile,0.10m,01st Mar 12,"Casual, Indie, Strategy",$1.25
Hexcells Infinite,Matthew Brown,0.10m,01st Sep 14,"Casual, Indie, Strategy",$3.59
Z,Virgin Interactive,0.10m,31st Jul 96,"Action, Strategy",$4.81
Homeworld: Deserts of Kharak,Gearbox Publishing,0.10m,20th Jan 16,Strategy,$2.04
LiEat,AGM Playism,0.10m,26th Feb 16,"Indie, RPG",$2.00
Salt,Lavaboots Studios,0.10m,06th Feb 18,"Action, Adventure, Indie + 1",$9.11
aMAZE,Blender Games,0.10m,14th Mar 17,"Adventure, Casual, Indie + 2",$0.26
Knights of Pen and Paper 2,Paradox Interactive,0.10m,20th Oct 15,"Adventure, Indie, RPG + 2",$2.18
BallisticNG,Neognosis,0.10m,14th Dec 18,"Action, Indie, Racing",$4.45
Space Pirates And Zombies 2,MinMax Games Ltd.,0.10m,07th Nov 17,"Action, Adventure, Indie + 3",$9.99
Deathtrap,NeocoreGames,0.10m,04th Feb 15,"Action, Adventure, Indie + 2",$1.28
Retrovirus,Cadenza Interactive,0.10m,31st Jan 13,"Action, Indie",$0.26
Blackguards 2,Daedalic Entertainment,0.10m,01st Apr 15,"Adventure, Indie, RPG + 1",$1.02
The Technomancer,Focus Home Interactive,0.10m,28th Jun 16,"Action, RPG",$1.45
Celtic Kings: Rage of War,Strategy First,0.10m,21st Aug 02,Strategy,$1.24
Captain Blood,Mindscape,0.10m,01st Jan 88,"Action, Adventure",$26.37
Sins of a Solar Empire: Rebellion,Unknown,0.10m,01st Jan 70,"Action, Indie, Simulation + 1",$5.99
World War 3,The Farm 51,0.10m,20th Oct 18,Action,Free
Bullet Girls Phantasia,D3 Publisher,0.10m,17th Jan 20,Action,$5.46
Amnesia: Rebirth,Frictional Games,0.10m,20th Oct 20,"Adventure, Indie",$3.06
Deadlock: Planetary Conquest,Accolade,0.10m,28th Aug 96,Strategy,$5.99
Pocky & Rocky Reshrined,Natsume Atari,0.10m,23rd Jun 22,Action,$29.99
Murky Divers,Oro Interactive,0.10m,19th Jun 24,"Action, Adventure, Indie",$3.39
Urban Myth Dissolution Center,SHUEISHA GAMES,0.10m,12th Feb 25,Adventure,$13.42
Farming Simulator 2011,Unknown,0.10m,29th Oct 10,Simulation,$4.42
Heroes of the Lance,Strategic Simulations,0.09m,01st Jan 88,"Action, Adventure",$9.99
Eye of the Beholder II: The Legend of Darkmoon,SSI,0.07m,01st Jan 91,RPG,$4.99
Uncharted Waters IV HD Version,Koei Tecmo,0.07m,20th May 21,"Action, RPG, Simulation + 1",$4.99
DUSK,New Blood Interactive,0.07m,18th Dec 18,"Action, Indie",$3.03
God Hand,Capcom,0.06m,10th Oct 06,"Action, Simulation",Free
Wargame Construction Set,Strategic Simulations,0.06m,01st Jan 86,"Simulation, Strategy",$1.28
Dragons of Flame,Strategic Simulations,0.06m,01st Jan 89,"Action, Adventure, RPG",$9.99
Eye of the Beholder III: Assault on Myth Drannor,SSI,0.05m,01st Jan 92,RPG,$4.99
Brawlout,Merge Games,0.05m,26th Jun 18,"Action, Casual, Indie",$1.08
fault - milestone two side:above,Sekai Project,0.05m,08th Sep 15,Indie,$1.70
Omega Labyrinth Life,D3 Publisher,0.05m,10th Dec 19,RPG,$3.61
Monster Boy and the Cursed Kingdom,FDG Entertainment,0.05m,04th Dec 18,"Action, Adventure, Indie",$9.89
Yomawari: Night Alone,NIS America,0.05m,25th Oct 16,"Adventure, Strategy",$3.39
Wizard's Crown,Strategic Simulations,0.05m,01st Jan 86,RPG,$5.99
Blood Money,Psygnosis,0.04m,01st May 89,"Adventure, Indie, RPG",$6.99
DragonStrike,Strategic Simulations,0.03m,01st Jan 90,"Action, RPG, Simulation",$2.99
Submarine Titans,Strategy First,0.03m,09th Aug 00,"Simulation, Strategy",$0.99
A Vampyre Story,The Adventure Company,0.03m,02nd Dec 08,Adventure,$9.99
Threshold,Sierra Entertainment,0.03m,01st Jan 81,"Early Access, Indie",$0.99
"Guns, Gore & Cannoli",Crazy Monkey,0.02m,30th Apr 15,"Action, Indie",$2.52
City Climber,Ondrej Angelovic,0.02m,24th Feb 17,"Action, Adventure, Casual + 3",$1.40
Rings of Zilfin,Strategic Simulations,0.02m,01st Jan 86,RPG,$5.99
War of the Lance,Strategic Simulations,0.02m,01st Jan 89,"Adventure, Strategy",$9.99
Shard of Spring,Strategic Simulations,0.01m,01st Jan 86,RPG,$5.99
Twin Breaker: A Sacred Symbols Adventure,Lillymo Games Inc,0.01m,23rd Sep 20,"Action, Casual, Indie",$9.99
Chippy,Facepunch Studios,0.01m,14th Jun 19,"Action, Indie",$14.99
